ticker,ann_return,ann_vol,sharpe,max_drawdown,avg_abs_corr,is_anchor,vol_combined,start_date,cluster_size,avg_cluster_distance,is_anchor_medoid,selection_rank
VOO,0.1292,0.1971,0.4019,0.3399,0.459,1,6146809192.900016,2010-09-09,51,0.25002944693707924,1,1
VEA,0.0674,0.2011,0.0864,0.3573,0.4394,1,20605392669.0,2007-07-26,38,0.3117277533611728,1,2
IWS,0.0736,0.2113,0.1118,0.4383,0.4745,0,737377495.7,2001-08-03,60,0.2694483963098754,0,3
XSOE,0.0336,0.2401,-0.0684,0.4709,0.4105,0,839641099.0,2014-12-10,17,0.25171475391648634,0,4
UGL,0.2107,0.3144,0.5112,0.4606,0.1409,0,1232999720.0,2008-12-03,14,0.2536735068382411,0,5
VDE,0.0612,0.3293,0.034,0.6929,0.3334,0,1256906192.0,2004-10-01,8,0.19389777053611418,0,6
GSG,0.0443,0.2384,-0.0238,0.5764,0.2197,0,1472340652.0,2006-07-21,7,0.25693149921711306,0,7
IYR,0.0467,0.2189,-0.015,0.415,0.3749,0,9757400763.0,2005-01-03,5,0.16579567016998614,0,8
XBI,0.04,0.3282,-0.0306,0.6467,0.316,0,10928604094.0,2006-02-06,3,0.21057678892282827,0,9
GUNR,0.0698,0.2251,0.0882,0.4304,0.4306,0,1468352570.0,2011-09-22,3,0.23736007144857849,0,10
ITB,0.1037,0.3261,0.1648,0.509,0.3573,0,3706594693.0,2006-05-05,2,0.11764021556254393,0,11
INDA,0.0588,0.226,0.0388,0.4386,0.3097,0,6222078128.0,2012-02-03,2,0.1331918285073724,0,12
EWZ,0.0235,0.3492,-0.0758,0.5621,0.3216,0,47369602086.0,2005-01-03,2,0.13868623005541403,0,13
ICLN,0.0798,0.3255,0.0914,0.6832,0.3346,0,6111223915.0,2008-06-25,2,0.17262428491187284,0,14
PFF,0.0294,0.1274,-0.1618,0.3172,0.3781,0,7667957182.0,2007-03-30,2,0.1768128488645507,0,15
XLP,0.0658,0.1574,0.1006,0.2491,0.286,0,19027573302.0,2000-01-03,2,0.18374298847468587,0,16
ANGL,0.0514,0.123,0.0114,0.297,0.363,0,2631294549.0,2012-04-11,2,0.18379164506079643,0,17
BIZD,0.0771,0.2509,0.1082,0.5547,0.3322,0,968622043.0,2013-02-12,1,0.0,0,18
DBA,0.057,0.1534,0.0455,0.3118,0.1493,0,1416519292.0,2007-01-05,1,0.0,0,19
ELV,0.0554,0.3234,0.0166,0.5047,0.2166,0,1362831362.700001,2007-04-30,1,0.0,0,20
EWW,0.0633,0.2838,0.0467,0.5177,0.3434,0,3459809176.0,2000-01-03,1,0.0,0,21
FPE,0.0441,0.1236,-0.0478,0.3335,0.3247,0,3233255997.0,2013-02-12,1,0.0,0,22
HYMB,0.023,0.1374,-0.1964,0.2957,0.1348,0,1535619761.0,2011-04-14,1,0.0,0,23
KSA,0.0634,0.2146,0.0624,0.4056,0.256,0,714637759.0,2015-09-17,1,0.0,0,24
LIT,0.0663,0.3404,0.048,0.6591,0.3402,0,669317935.0,2010-07-23,1,0.0,0,25
TBF,0.0298,0.1639,-0.123,0.3839,0.1243,0,1649244245.0,2009-08-20,1,0.0,0,26
URA,0.1518,0.3926,0.2594,0.5429,0.3223,0,3138699244.0,2010-11-05,1,0.0,0,27
VRP,0.0437,0.1792,-0.0354,0.4604,0.2925,0,721815314.0,2014-05-01,1,0.0,0,28
VWOB,0.0282,0.1101,-0.1976,0.278,0.3443,0,682927617.0,2013-06-04,1,0.0,0,29
XLU,0.0889,0.2036,0.1912,0.3477,0.2582,0,42293408368.0,2000-01-03,1,0.0,0,30
