ticker,ward,greedy,kmedoids,maxdiv,method_count,is_anchor,ann_return,ann_vol,sharpe,max_drawdown,avg_method_sharpe
VOO,1,1,1,1,4,1,0.1292,0.1971,0.4019,0.3399,0.4019
VEA,1,1,1,1,4,1,0.0674,0.2011,0.0864,0.3573,0.0864
TBF,1,1,1,1,4,0,0.0298,0.1639,-0.123,0.3839,-0.123
UGL,1,0,1,1,3,0,0.2107,0.3144,0.5112,0.4606,0.5112
XLU,0,1,1,1,3,0,0.0889,0.2036,0.1912,0.3477,0.1912
XLP,0,1,1,1,3,0,0.0658,0.1574,0.1006,0.2491,0.1006
KSA,0,1,1,1,3,0,0.0634,0.2146,0.0624,0.4056,0.0624
DBA,0,1,1,1,3,0,0.057,0.1534,0.0455,0.3118,0.0455
ELV,0,1,1,1,3,0,0.0554,0.3234,0.0166,0.5047,0.0166
ANGL,0,1,1,1,3,0,0.0514,0.123,0.0114,0.297,0.0114
XBI,0,1,1,1,3,0,0.04,0.3282,-0.0306,0.6467,-0.0306
VRP,0,1,1,1,3,0,0.0437,0.1792,-0.0354,0.4604,-0.0354
FPE,0,1,1,1,3,0,0.0441,0.1236,-0.0478,0.3335,-0.0478
HYMB,0,1,1,1,3,0,0.023,0.1374,-0.1964,0.2957,-0.1964
VWOB,0,1,1,1,3,0,0.0282,0.1101,-0.1976,0.278,-0.1976
GLD,0,1,0,1,2,0,0.1447,0.1525,0.6214,0.218,0.6214
EWT,0,1,0,1,2,0,0.149,0.2559,0.3868,0.393,0.3868
URA,0,1,1,0,2,0,0.1518,0.3926,0.2594,0.5429,0.2594
ITB,0,1,1,0,2,0,0.1037,0.3261,0.1648,0.509,0.1648
BIZD,0,1,1,0,2,0,0.0771,0.2509,0.1082,0.5547,0.1082
LIT,0,1,1,0,2,0,0.0663,0.3404,0.048,0.6591,0.048
EWW,0,1,1,0,2,0,0.0633,0.2838,0.0467,0.5177,0.0467
INDA,0,1,1,0,2,0,0.0588,0.226,0.0388,0.4386,0.0388
VDE,1,0,1,0,2,0,0.0612,0.3293,0.034,0.6929,0.034
BNO,0,1,0,1,2,0,0.0579,0.3921,0.0203,0.7518,0.0203
IYR,1,0,1,0,2,0,0.0467,0.2189,-0.015,0.415,-0.015
GSG,1,0,1,0,2,0,0.0443,0.2384,-0.0238,0.5764,-0.0238
KRE,0,1,0,1,2,0,0.0322,0.3384,-0.0525,0.5495,-0.0525
XSOE,1,0,1,0,2,0,0.0336,0.2401,-0.0684,0.4709,-0.0684
EWZ,0,1,1,0,2,0,0.0235,0.3492,-0.0758,0.5621,-0.0758
PFF,1,0,1,0,2,0,0.0294,0.1274,-0.1618,0.3172,-0.1618
PFFD,0,1,0,1,2,0,0.0231,0.1406,-0.1913,0.3093,-0.1913
SGOL,0,0,0,1,1,0,0.1472,0.153,0.6352,0.2132,0.6352
BAR,0,0,0,1,1,0,0.146,0.1553,0.6183,0.2142,0.6183
IAU,0,0,0,1,1,0,0.1463,0.1557,0.6183,0.2194,0.6183
OUNZ,0,0,0,1,1,0,0.1456,0.1568,0.6097,0.2167,0.6097
PHYS,0,0,0,1,1,0,0.1419,0.1581,0.5811,0.2376,0.5811
DXJ,0,0,0,1,1,0,0.1362,0.2193,0.393,0.391,0.393
GDXJ,1,0,0,0,1,0,0.1639,0.4322,0.2636,0.5695,0.2636
XME,0,1,0,0,1,0,0.133,0.3475,0.239,0.6172,0.239
VONV,1,0,0,0,1,0,0.0846,0.1901,0.182,0.3821,0.182
FTGC,0,0,0,1,1,0,0.0855,0.2107,0.1687,0.3591,0.1687
FVD,1,0,0,0,1,0,0.0715,0.1715,0.1255,0.3525,0.1255
SPMD,1,0,0,0,1,0,0.0776,0.2299,0.1202,0.4186,0.1202
IWS,0,0,1,0,1,0,0.0736,0.2113,0.1118,0.4383,0.1118
ICLN,0,0,1,0,1,0,0.0798,0.3255,0.0914,0.6832,0.0914
GUNR,0,0,1,0,1,0,0.0698,0.2251,0.0882,0.4304,0.0882
TAN,0,1,0,0,1,0,0.0762,0.4298,0.061,0.797,0.061
AMLP,0,1,0,0,1,0,0.0641,0.3132,0.0449,0.7142,0.0449
COMT,0,0,0,1,1,0,0.0561,0.2129,0.0288,0.3923,0.0288
IBB,1,0,0,0,1,0,0.0545,0.2449,0.0185,0.3983,0.0185
FALN,0,0,0,1,1,0,0.0506,0.1123,0.005,0.2922,0.005
DBO,0,0,0,1,1,0,0.0448,0.3333,-0.0156,0.6169,-0.0156
EPP,1,0,0,0,1,0,0.0396,0.2035,-0.0511,0.393,-0.0511
SCHH,0,1,0,0,1,0,0.0285,0.2385,-0.0901,0.4422,-0.0901
